Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.0511488,0.094561,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,-0.072797,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.072797,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.157602,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.132836,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0968125,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0487131,-0.071296,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,-0.071296,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.144093,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.136588,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.094561,-0.0146172,-0.00825759,0.0536083,0.00525447
0.0511488,0.094561,-0.0146172,-0.00825759,0.0536083,0.00525447
0.0511488,-0.0795513,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.164356,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.144093,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,-0.0735475,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.159853,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.140341,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.012181,-0.0075069,0.0536083,0.00525447
0.0487131,-0.0705455,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.1546,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.129834,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.0953115,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0487131,0.0953115,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0511488,-0.0472805,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.17111,-0.012181,-0.0075069,0.0536083,0.00525447
0.0487131,0.132085,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0803018,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.164356,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.142592,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0923096,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0923096,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0682941,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0511488,0.15535,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.134337,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.0938106,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.0938106,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0600388,-0.012181,-0.00675621,0.0511715,0.00525447
0.0487131,0.174863,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.125331,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.0893077,-0.012181,-0.00675621,0.0536083,0.00525447
0.0487131,0.0893077,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0788009,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.168859,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.141842,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0757989,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.162855,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0511488,0.13959,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.094561,-0.012181,-0.00675621,0.0536083,0.00600511
0.0511488,0.094561,-0.012181,-0.00675621,0.0536083,0.00600511
0.0511488,-0.071296,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.153849,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.130584,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0930601,-0.012181,-0.00675621,0.0511715,0.00525447
0.0511488,0.0930601,-0.012181,-0.00675621,0.0511715,0.00525447
0.0511488,-0.0788009,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.168109,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.135838,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0772999,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.165857,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.143343,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0938106,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0938106,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0705455,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.156851,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.134337,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.094561,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.094561,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0472805,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.176364,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.123079,-0.0146172,-0.0075069,0.0511715,0.00525447
0.0487131,0.0908086,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.0908086,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0803018,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.169609,-0.012181,-0.00675621,0.0536083,0.00525447
0.0487131,0.141091,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,-0.0757989,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.162855,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.13959,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.071296,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.1546,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.130584,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.04653,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.17111,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.132836,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0915591,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0788009,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.168109,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.142592,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0953115,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,-0.074298,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.159853,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.133586,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0607892,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.175613,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.126081,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0908086,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0908086,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,-0.0780504,-0.012181,-0.00675621,0.0536083,0.00525447
0.0511488,0.165107,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.145594,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.0930601,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0772999,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.162855,-0.012181,-0.0075069,0.0511715,0.00525447
0.0511488,0.141091,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.096062,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0450291,-0.012181,-0.0075069,0.0536083,0.00525447
